S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ISHA KHAN CHOUDHURY,Indian National Congress,570966,1429,572395,41.79
2,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,441531,2496,444027,32.42
3,SHAHNAWAZ ALI RAIHAN,All India Trinamool Congress,299825,1201,301026,21.98
4,PURNOCHANDRA MANDAL,Independent,8381,2,8383,0.61
5,AHMED HEDATUL HASAN,Independent,5735,1,5736,0.42
6,MD. JAMAL SAIKH,Independent,5386,-,5386,0.39
7,BIKASH RABIDAS,Bahujan Samaj Party,5054,11,5065,0.37
8,BIJOY KUMAR SARKAR,Independent,4773,3,4776,0.35000000000000003
9,SUSMITA DEY KARJEE,Bhartiya Lokmat Rashtrwadi Party,3521,14,3535,0.26
10,AMAL KUMAR RABIDAS,Independent,3263,8,3271,0.24
11,KAVIR MADAN DAS,Ambedkarite Party of India,3137,3,3140,0.23
12,ASIM MANDAL,Jan Sangh Party,2786,2,2788,0.2
13,MD SHAHNAWAJ RAHMATULLAH,Social Democratic Party Of India,2315,8,2323,0.17
14,JALALUDDIN SARKAR,Bharatiya Nyay-Adhikar Raksha Party,2075,-,2075,0.15
15,ANGSHUDHAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),1178,11,1189,0.09
16,MD NUR ISLAM SEKH,Rashtriya Secular Majlis Party,1130,6,1136,0.08
17,MD MONIRUL HASAN,Jamat-E-Seratul Mustakim,737,4,741,0.05
18,NOTA,None of the Above,2759,38,2797,0.2
