S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AJAY KUMAR MANDAL,Janata Dal (United),534923,1108,536031,50.38
2,AJEET SHARMA,Indian National Congress,430025,1138,431163,40.52
3,POONAM SINGH,Bahujan Samaj Party,12547,99,12646,1.19
4,HARERAM YADAV,Independent,12255,3,12258,1.15
5,DEEPAK KUMAR SINGH,Rashtriya Jansambhavna Party,7654,16,7670,0.72
6,CHHOTE LAL KUMAR,Independent,6677,6,6683,0.63
7,RAMESH TUDU,Independent,6629,5,6634,0.62
8,UMESH PRASAD YADAV,Peoples Party of India (Democratic),5105,21,5126,0.48
9,DEEPAK KUMAR,Socialist Unity Centre Of India (COMMUNIST),3758,5,3763,0.35000000000000003
10,MUKESH KUMAR,Akhil Bhartiya Parivar Party,3670,11,3681,0.35000000000000003
11,DAYARAM MANDAL,Lok Sewa Dal,3509,10,3519,0.33
12,OM PRAKASH PODDAR,Independent,3091,13,3104,0.29
13,NOTA,None of the Above,31771,32,31803,2.99
