S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARUN KUMAR SAGAR,Bharatiya Janata Party,591500,1218,592718,47.5
2,JYOTSNA GOND,Samajwadi Party,534720,2619,537339,43.06
3,DOD RAM VERMA,Bahujan Samaj Party,91302,408,91710,7.35
4,KIRAN,Rashtriya Sanatan Party,6587,1,6588,0.53
5,SHIV KUMAR,Independent,2805,-,2805,0.22
6,MEENA KASYAP,Independent,2051,10,2061,0.17
7,PRADEEP KUMAR,Independent,1996,9,2005,0.16
8,PREMCHANDRA HARIJAN,Sardar Patel Siddhant Party,1686,1,1687,0.14
9,DHARM PAL,Independent,1413,10,1423,0.11
10,RAMESH CHANDRA VERMA,Manav Kranti Party,1076,-,1076,0.09
11,NOTA,None of the Above,8449,41,8490,0.68
