S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARUNA. D. K,Bharatiya Janata Party,506747,4000,510747,41.66
2,CHALLA VAMSHI CHAND REDDY,Indian National Congress,503111,3136,506247,41.29
3,MANNE SRINIVAS REDDY,Bharat Rashtra Samithi,154296,496,154792,12.62
4,VENKATESWARLU TALLADA,Alliance of Democratic Reforms Party,6375,4,6379,0.52
5,KINNERA YADAGIRI,Independent,4470,-,4470,0.36
6,KURA VENKATAIAH,Independent,4248,1,4249,0.35000000000000003
7,HARINDER REDDY MALLELA,Independent,3814,1,3815,0.31
8,KARUKONDA SRINIVAS YADAV,Independent,3450,1,3451,0.28
9,HANUMESH,Independent,3225,-,3225,0.26
10,MOHD ALAUDDIN,Bahujan Samaj Party,3056,21,3077,0.25
11,GOVINDAMMA,Independent,2748,-,2748,0.22
12,GANTLAVELLI RAKESH,Dharma Samaj Party,2600,18,2618,0.21
13,UMASHANKAR NEMMIKANTI,Independent,2214,-,2214,0.18
14,DINESH,Independent,1726,1,1727,0.14
15,ANDHARI ANJAIAH,Independent,1669,6,1675,0.14
16,SANGEPAGA SAROJANAMMA,Independent,1563,2,1565,0.13
17,B. RAVINDER,Social Justice Party of India,1082,3,1085,0.09
18,K. UDAY TEJ NAIK,Independent,1027,-,1027,0.08
19,MARLA ANJANEYULU,Jai Swaraj Party,1019,1,1020,0.08
20,NADIMINTI SRINIVASULU,Independent,983,2,985,0.08
21,M. NAVEEN REDDY,Independent,951,1,952,0.08
22,VIJAYA,Independent,592,4,596,0.05
23,ANEESUR RAHMAN,Bahujan Mukti Party,503,-,503,0.04
24,A. SRINIVASULU,Independent,437,1,438,0.04
25,KADINTI SHANKAR REDDY,Viduthalai Chiruthaigal Katchi,427,5,432,0.04
26,NARESH REDDY,Telangana Jaghir Party,420,-,420,0.03
27,VENKATA RAMANA,Independent,352,1,353,0.03
28,BANDA SATYANARAYANA,Independent,263,1,264,0.02
29,PULLANGARI SANDEEP KUMAR REDDY,Independent,261,1,262,0.02
30,VISHNU VARDHAN REDDY THAPALAKINDHI,Independent,227,2,229,0.02
31,MUDAVATH BALARAJU NAIK,Independent,181,2,183,0.01
32,NOTA,None of the Above,4286,44,4330,0.35000000000000003
