S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,463777,7440,471217,33.99
2,NEELAM MADHU,Indian National Congress,427899,4179,432078,31.17
3,P. VENKATRAMA REDDY,Bharat Rashtra Samithi,395250,1540,396790,28.62
4,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,17191,25,17216,1.24
5,SARA YADAGIRI GOUD,Praja Velugu Party,11056,4,11060,0.8
6,BODAPATLA ESHWAR,Bahujan Samaj Party,7423,40,7463,0.54
7,DUBALA SRI SAILAM,Independent,5161,5,5166,0.37
8,ADLA KUMAR,Independent,5113,3,5116,0.37
9,BANDAPALLY SRINIVAS,Socialist Unity Centre Of India (COMMUNIST),2366,-,2366,0.17
10,ANIL GOUD,Bharat Jodo Party,2128,4,2132,0.15
11,ABHILASH CHELIMELA,Independent,2031,-,2031,0.15
12,ATI ANJANEYULU,Independent,2029,9,2038,0.15
13,MAISANGARI SUNIL,India Praja Bandhu Party,2009,2,2011,0.15
14,PRADEEP,Independent,2006,4,2010,0.14
15,INDRAGOUD SILIVERI,National Nava Kranthi Party,1773,1,1774,0.13
16,NAGAMANI ACHA,Independent,1538,2,1540,0.11
17,A. KRANTHI KUMAR,Independent,1465,2,1467,0.11
18,MAREPALLY LAXMINARAYANA,Independent,1411,3,1414,0.1
19,BALESH UPPARI,Independent,1390,3,1393,0.1
20,VENKATESH BEJUGAM,Independent,1263,1,1264,0.09
21,BOMMALA VIJAY KUMAR,Independent,1194,2,1196,0.09
22,ANNELA LAXMAN,Dharma Samaj Party,1143,9,1152,0.08
23,ABHILASH SHIRNA,Independent,923,1,924,0.07
24,DODLA VENKAT,Telangana Praja Shakthi Party,915,2,917,0.07
25,ABISHEK GOUD THABETI,Jana Shankhaaraavam Party,792,5,797,0.06
26,MEDI SRINIVAS REDDI,Independent,791,2,793,0.06
27,VUTLA RAMESH,Independent,778,-,778,0.06
28,D. NARAHARI,Independent,674,1,675,0.05
29,GOLLAPALLY SAYA GOUD,Pyramid Party of India,656,2,658,0.05
30,SATYANARAYANA GOUD KOVURI,Independent,607,-,607,0.04
31,DASARI BHANUCHANDER,Independent,573,2,575,0.04
32,DADIGE RAJENDAR,Independent,556,3,559,0.04
33,C.H. NAVEEN KUMAR,Independent,529,2,531,0.04
34,KONDI ASHOK,Independent,509,-,509,0.04
35,URELLI YELLAIAH,Viduthalai Chiruthaigal Katchi,492,2,494,0.04
36,GONDHI BHUJANGAMU,Independent,430,1,431,0.03
37,MOHD AZHER,Independent,414,2,416,0.03
38,S RAJESH SAGAR,Independent,348,-,348,0.03
39,KASOJU SRIKANTH,Independent,344,-,344,0.02
40,K. LAXMINARAYANA,Independent,317,-,317,0.02
41,KOLKUR PRATAP,Independent,292,1,293,0.02
42,GADILA ANJANEYULU,Independent,289,1,290,0.02
43,GOUTI MALLESH,Independent,247,1,248,0.02
44,K.RAGHU,Independent,222,2,224,0.02
45,NOTA,None of the Above,4582,35,4617,0.33
