S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PROF S P SINGH BAGHEL,Bharatiya Janata Party,597061,2336,599397,53.34
2,SURESH CHAND KARDAM,Samajwadi Party,326644,1459,328103,29.2
3,POOJA AMROHI,Bahujan Samaj Party,175810,664,176474,15.7
4,ARAM SINGH,Peoples Party of India (Democratic),4130,13,4143,0.37
5,KULDEEP KUMAR,Bharatiya Kisan Parivartan Party,1997,5,2002,0.18
6,MAHENDRA SINGH,Independent,1779,6,1785,0.16
7,POOJA,Independent,1363,7,1370,0.12
8,SARVESH KUMAR,Bharatiya Majdoor Janta Party,1123,10,1133,0.1
9,AMBEDAKARI HASANURAM AMBEDAKARI,Independent,927,6,933,0.08
10,JITENDRA GAUTAM,Lokpriya Rashtrawadi Party,780,2,782,0.07
11,CHANDRA PAL,Adarsh Samaj Party,640,3,643,0.06
12,NOTA,None of the Above,6929,85,7014,0.62
