S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,562022,4063,566085,43.38
2,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,492958,2770,495728,37.99
3,ANNADURAI N,Pattali Makkal Katchi,125829,1310,127139,9.74
4,DR MANOJKUMAR G,Naam Tamilar Katchi,75636,571,76207,5.84
5,BHALAJI M,Independent,3437,4,3441,0.26
6,MURALI S,Bahujan Samaj Party,3333,39,3372,0.26
7,PALANIVEL K,Independent,2853,3,2856,0.22
8,JEGANNATHAN A,Independent,2384,27,2411,0.18
9,RAJA S,Independent,1442,14,1456,0.11
10,MUTHUSAMY S,Independent,1193,4,1197,0.09
11,ER PRABAKARAN S,Independent,1151,4,1155,0.09
12,SHANMUGAM G,Independent,1144,3,1147,0.09
13,SANTHALINGAM C,Independent,1079,19,1098,0.08
14,SUTHARSANAM S,Aravor Munnetra Kazhagam,1030,6,1036,0.08
15,AMBEDKAR C,Ambedkarite Party of India,944,17,961,0.07
16,RAMACHANDRAN C,Dhesiya Makkal Kazhagam,748,10,758,0.06
17,GOVINDHAN A,Independent,686,7,693,0.05
18,MANICKAM R,Ulzaipali Makkal Katchy,533,4,537,0.04
19,AHAMED SHAHJAHAN M,Independent,453,13,466,0.04
20,INTHRAJITHKUPTHA G,Independent,425,7,432,0.03
21,RAMASUNDARAM D,Independent,419,3,422,0.03
22,KARUNAKARAN M,Independent,359,18,377,0.03
23,RAJA A,Independent,329,3,332,0.03
24,VIGNESH M,Independent,324,4,328,0.03
25,JOTHILINGAM M,Independent,314,2,316,0.02
26,NOTA,None of the Above,14677,217,14894,1.1400000000000001
