S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DEVESH SHAKYA,Samajwadi Party,474263,1545,475808,47.09
2,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,446748,1008,447756,44.32
3,MOHAMMAD IRFAN ADVOCATE,Bahujan Samaj Party,71407,178,71585,7.08
4,ANUPAM KUMAR,Kisan Kranti Dal,3944,5,3949,0.39
5,KAILASH KUMAR,Independent,1728,-,1728,0.17
6,DANVEER,Independent,1261,4,1265,0.13
7,UDAY VEER SINGH,Peoples Party of India (Democratic),985,7,992,0.1
8,ASHOK KUMAR,Independent,777,3,780,0.08
9,VIABHAV MISHRA,Bhartiya Shakti Chetna Party,742,5,747,0.07
10,AMAR SINGH,Independent,609,6,615,0.06
11,NOTA,None of the Above,5145,11,5156,0.51
