S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SK NURUL ISLAM,All India Trinamool Congress,801542,2220,803762,52.76
2,REKHA PATRA,Bharatiya Janata Party,468593,1622,470215,30.87
3,AKHTAR RAHAMAN BISWAS,All India Secular Front,123432,68,123500,8.11
4,NIRAPADA SARDAR,Communist Party of India (Marxist),77611,288,77899,5.11
5,MAFIJUL MOLLA,Independent,11833,-,11833,0.78
6,PRIYAMA DAS,Independent,6606,14,6620,0.43
7,MIRAZ MOLLA,Independent,5902,-,5902,0.39
8,MD ABUL KALAM MOLLA,Bahujan Samaj Party,4451,13,4464,0.29
9,BIDYUT GAYEN,Independent,3625,9,3634,0.24
10,IMRAN ALI SARDAR,Bharatheeya Jawan Kisan Party,2548,5,2553,0.17
11,PIYARUL ISLAM,Independent,2388,3,2391,0.16
12,SARAVAN SINGH,Independent,2020,1,2021,0.13
13,DAUD ALI GAZI,Socialist Unity Centre Of India (COMMUNIST),1163,4,1167,0.08
14,KINKAR KANTI ROY,Independent,1115,3,1118,0.07
15,BIPUL CHANDRA BISWAS,Mulnibasi Party of India,1070,4,1074,0.07
16,NOTA,None of the Above,5229,19,5248,0.34
