S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BHUPENDER YADAV,Bharatiya Janata Party,624110,7882,631992,50.42
2,LALIT YADAV,Indian National Congress,575964,7746,583710,46.57
3,FAZAL HUSSAIN,Bahujan Samaj Party,19178,109,19287,1.54
4,PARDEEP KUMAR,Sarv Samaj Party,4339,23,4362,0.35000000000000003
5,VIVEK JAIN,Independent,2429,9,2438,0.19
6,RAMBABU SHARMA,Independent,2207,25,2232,0.18
7,AMIT GUPTA,Independent,1366,23,1389,0.11
8,CHHAGAN LAL,Independent,1291,36,1327,0.11
9,VISHVNATH KHINCHI,Hindustan Janta Party,862,17,879,0.07
10,NOTA,None of the Above,5727,95,5822,0.46
