S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SELVARAJ V,Communist Party of India,462759,2285,465044,47.79
2,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,254676,1411,256087,26.32
3,KARTHIKA M,Naam Tamilar Katchi,130846,448,131294,13.49
4,RAMESHGOVIND S G M,Bharatiya Janata Party,101535,638,102173,10.5
5,VIJAYARAGAVAN N,Independent,3072,30,3102,0.32
6,SUBRAMANIAN K,Independent,2434,33,2467,0.25
7,JAGADEESH J BE,Bahujan Samaj Party,1789,17,1806,0.19
8,BOOMINATHAN B,Desiya Makkal Sakthi Katchi,1048,2,1050,0.11
9,PREM S,Independent,1047,23,1070,0.11
10,NOTA,None of the Above,8843,75,8918,0.92
