S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAM SHIROMANI VERMA,Samajwadi Party,510754,301,511055,48.83
2,SAKET MISRA,Bharatiya Janata Party,434192,190,434382,41.51
3,MUINUDDIN AHAMAD KHAN URF HAZI DADDAN KHAN,Bahujan Samaj Party,56225,26,56251,5.38
4,AHMAD JIYA KHAN,Peace Party,15630,-,15630,1.49
5,SHANTI DEVI,Independent,4010,1,4011,0.38
6,SUJEET KUMAR,Independent,3946,-,3946,0.38
7,YUGAL KISHOR SHUKLA,Aam Janta Party (India),2672,1,2673,0.26
8,KRISHNA KUMAR MAURYA,Samyak Party,2266,1,2267,0.22
9,MALIK RAM,Independent,2111,2,2113,0.2
10,ANIL KUMAR TIWARI,Independent,1513,1,1514,0.14
11,HANUMAN PRASAD MISHRA,Kisan Mazdoor Sangharsh Party,1494,1,1495,0.14
12,KUMARI GEETA GAUTAM,Rashtriya Janta Party,1317,2,1319,0.13
13,NOTA,None of the Above,9872,-,9872,0.9400000000000001
