S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NEERAJ MAURYA,Samajwadi Party,491119,1396,492515,45.23
2,DHARMENDRA KASHYAP,Bharatiya Janata Party,475434,1112,476546,43.76
3,ABID ALI,Bahujan Samaj Party,95407,223,95630,8.78
4,KAUSAR KHAN,Peace Party,4210,3,4213,0.39
5,PREM PAL SAGAR,Vanchitsamaj Insaaf Party,3328,2,3330,0.31
6,MAKKHAN LAL,Independent,2946,7,2953,0.27
7,RAJ KUMAR PATEL,Sardar Patel Siddhant Party,2700,6,2706,0.25
8,MOHAMMAD AMIR KHAN,Bharat Jodo Party,2348,7,2355,0.22
9,NIRMOD KUMAR SINGH,Bhartiya Shakti Chetna Party,1785,5,1790,0.16
10,NOTA,None of the Above,6843,15,6858,0.63
