S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BIRENDRA SINGH,Samajwadi Party,472928,1548,474476,42.5
2,DR. MAHENDRA NATH PANDEY,Bharatiya Janata Party,451802,1109,452911,40.57
3,SATYENDRA KUMAR MAURYA,Bahujan Samaj Party,159585,318,159903,14.32
4,SHOBHANATH PRAJAPATI,Bhagidari Party(P),4027,5,4032,0.36
5,SHER SINGH,Yuga Thulasi Party,3090,6,3096,0.28
6,SANTOSH KUMAR,Independent,2965,4,2969,0.27
7,RAJESH VISHWAKARMA,Moulik Adhikar Party,2759,3,2762,0.25
8,ARVIND KUMAR PATEL,Sardar Patel Siddhant Party,2734,11,2745,0.25
9,SANJAY KUMAR SINHA,Jai Hind National Party,2617,6,2623,0.23
10,RAM GOVIND,Samajhdar Party,1975,2,1977,0.18
11,NOTA,None of the Above,8987,18,9005,0.81
