S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BANSURI SWARAJ,Bharatiya Janata Party,451464,1721,453185,53.48
2,SOMNATH BHARTI,Aam Aadmi Party,374032,783,374815,44.23
3,RAAJ KUMAR ANAND,Bahujan Samaj Party,5601,28,5629,0.66
4,SANJAY RAWAT,Independent,1271,5,1276,0.15
5,ACHLA JETHMALANI,Jindabad Kranti Party,1036,1,1037,0.12
6,HIRA LAL,Independent,1005,-,1005,0.12
7,PREM SINGH,Navarang Congress Party,800,6,806,0.1
8,UPEN‍DRA,Anjaan Aadmi Party,781,-,781,0.09
9,DILIP SINGH,Independent,725,1,726,0.09
10,LUKMAN KHAN,Log Party,654,2,656,0.08
11,PUNAM PANDEY,Rashtravadi Loktantrik Party (India),640,1,641,0.08
12,SANDHYA THAKKAR,Rashtriya Republican Party,485,1,486,0.06
13,RAVINDER SINGH,Independent,414,2,416,0.05
14,DINESH KUMAR,Peoples Party of India (Democratic),360,1,361,0.04
15,PRITHVI NATH SINGH,Bharatiya Sampuran Krantikari Party,335,-,335,0.04
16,MAHESH KUMAR DENWAL,Ambedkarite Party of India,287,1,288,0.03
17,MANOJ KUMAR SHARMA,Loktantrik Janshakti Party,208,4,212,0.03
18,NOTA,None of the Above,4791,22,4813,0.5700000000000001
